zip,top
E1,2
E14,2
E15,3
E16,3
E1W,3
E2,2
E20,3
E8,2
EC1M,3
EC1R,3
EC1V,3
EC1Y,3
EC2A,3
EC2M,3
EC2R,3
EC3A,3
EC3N,3
EC3V,3
EC4M,3
EC4V,3
EC4Y,3
HA9,3
IG8,3
N1,2
N1C,2
N4,3
NW1,2
NW2,3
NW3,1
NW4,3
NW6,3
NW8,2
SE1,2
SE10,3
SE11,2
SE16,2
SW10,3
SW11,3
SW14,3
SW15,3
SW19,3
SW1A,3
SW1E,3
SW1H,3
SW1P,3
SW1V,3
SW1W,1
SW1X,1
SW1Y,3
SW3,1
SW5,1
SW6,3
SW7,1
SW8,2
W10,3
W11,2
W12,3
W13,3
W14,3
W1B,3
W1C,3
W1D,3
W1F,3
W1G,3
W1H,3
W1J,1
W1K,1
W1S,3
W1T,3
W1U,3
W1W,3
W2,1
W3,3
W4,3
W5,3
W6,3
W8,1
W9,3
WC1A,3
WC1B,3
WC1E,3
WC1H,3
WC1N,3
WC1V,3
WC1X,3
WC2A,3
WC2B,3
WC2E,3
WC2H,3
WC2N,3
WC2R,3
1010,1
1011,1
1012,1
1013,2
1014,2
1015,1
1016,1
1017,1
1018,1
1019,2
1020,2
1030,2
1031,1
1033,3
1040,2
1043,3
1050,3
1052,3
1053,2
1054,2
1055,2
1057,3
1058,3
1060,1
1062,3
1064,3
1066,3
1067,3
1070,1
1071,2
1072,2
1075,3
1077,3
1080,1
1082,3
1083,3
1087,3
1090,2
1091,2
1092,2
1093,2
1096,3
1097,3
1100,3
1101,3
1105,3
1108,3
1110,3
1120,3
1130,3
1140,3
1150,2
1160,2
1170,3
1190,3
1210,3
1220,3
1230,3
08001,1
08002,1
08003,1
08004,1
08005,3
08006,3
08007,3
08008,3
08009,3
08010,2
08011,2
08012,3
08013,2
08014,2
08015,2
08017,3
08018,2
08019,3
08021,3
08022,3
08023,3
08025,3
08026,3
08028,2
08029,2
08034,3
08035,3
08036,2
08037,3
08038,1
08039,3
08040,3
08950,3
20121,1
20122,1
20123,1
20124,2
20125,3
20126,3
20127,3
20128,3
20129,2
20131,3
20132,3
20133,3
20135,2
20136,2
20138,3
20139,3
20141,3
20142,3
20143,3
20144,2
20145,2
20146,3
20148,3
20149,3
20152,3
20153,3
20154,2
20155,3
20156,3
20157,3
20158,3
20159,3
20161,3
20162,3
75001,1
75002,2
75003,2
75004,1
75005,1
75006,1
75007,1
75008,2
75009,3
75010,3
75011,2
75012,2
75013,2
75014,3
75015,2
75016,2
75017,3
75018,3
75019,3
75020,3
75116,3
92120,3
92170,3
