MO,OKFS,MO_level,attach,population
830001,13,3.2,53801,48693
830002,16,1.0,0,282900
830004,13,2.0,28004,30962
830005,13,1.0,9916,10037
830007,13,1.0,9498,9121
830008,13,1.0,17007,16139
830009,13,3.2,98588,101235
830011,13,3.1,118020,106764
830013,16,1.0,5486,106764
830015,13,1.0,5252,5702
830016,13,1.0,18554,17774
830017,13,3.1,61957,66233
830020,13,2.0,40490,36552
830021,16,1.0,0,13104177
830022,13,2.0,35888,33869
830023,13,2.0,30148,29306
830024,12,1.0,0,48693
830025,16,1.0,0,106764
830032,13,1.0,0,48693
830033,13,1.0,0,101235
830034,13,1.0,0,106764
830035,13,1.0,0,66233
830041,16,1.0,0,33869
830042,16,1.0,0,29306
830044,16,1.0,0,48693
830045,16,1.0,0,33869
830047,16,2.0,0,48693
830049,16,1.0,0,66233
830050,12,1.0,0,48693
830052,16,2.0,0,101235
830053,16,0.0,0,5598486
830054,16,1.0,0,66233
830056,16,0.0,0,1539371
830057,16,0.0,0,303357
830061,16,0.0,0,5598486
830062,23,0.0,0,40448
830063,16,2.0,0,48693
830064,16,1.0,0,101235
830066,16,0.0,0,1625631
830067,16,2.0,0,101235
830068,16,1.0,0,101235
830069,16,1.0,0,48693
830070,16,1.0,0,106764
830080,16,1.0,0,29306
830083,16,1.0,0,66233
830091,16,2.0,0,101235
830093,16,0.0,0,13104177
830097,16,2.0,0,101235
830100,16,0.0,0,5598486
830102,16,1.0,0,101235
830103,16,1.0,0,33869
830104,16,2.0,0,48693
830106,16,1.0,0,101235
830107,16,1.0,0,36552
830108,16,1.0,0,1539371
830109,23,1.0,0,13104177
830110,34,1.0,0,5598486
830111,16,1.0,0,36552
830112,16,1.0,0,452976
830047,16,1.0,0,48693
