feature 1,feature 2,Corr coeff
IDSP_36,VIDPOM_2,1.0
VIDPOM_2,IDSP_36,1.0
DN,FILENAME_D,1.0
USL_OK_4,VIDPOM_2,1.0
divergence_DS_-1,DS0,1.0
DIFF_NPR_DATE_DATE_1_1,DIFF_NPR_DATE_DATE_1_0,1.0
divergence_DS_1,divergence_DS_-1,0.9984801520984932
divergence_DS_-1,divergence_DS_1,0.9984801520984932
IDSP_28,GROUP_OMU,0.9950783867119041
NPR_MO_1,MO_1,0.9937761124476023
IDSP_33,BED_PROFILE_0,0.9895807315306313
MO_0,NPR_MO_0,0.9696975761592432
BED_PROFILE_0,VIDPOM_31,0.9524930159934957
IDSP_33,VIDPOM_31,0.9520078917928837
FILENAME_D,P_CEL_Обращение с профилактической целью,0.9396131057110756
DN,P_CEL_Обращение с профилактической целью,0.9396131057110756
PROFIL_1,SPEC_CODE_1,0.9351688473840829
FILENAME_D,FILENAME_H,0.9221173101130753
DN,FILENAME_H,0.9221173101130753
DS1_PR,C_ZAB_2,0.9117966665551341
BED_PROFILE_1,BED_PROFILE_0,0.9102039857442993
SPEC_CODE_0,PROFIL_0,0.9052592323052018
BED_PROFILE_1,IDSP_33,0.9025556849817835
USL_OK_1,VIDPOM_31,0.8809524278284498
P_CEL_Обращение с профилактической целью,FILENAME_H,0.8647718793918552
BED_PROFILE_1,VIDPOM_31,0.8631948165334157
C_ZAB_3,C_ZAB_1,0.8597762130265231
attach,population,0.8433768066223076
SUMV,TARIF,0.8422525670909414
FOR_POM_3,FOR_POM_2,0.8394250015655526
BED_PROFILE_0,USL_OK_1,0.8377243095943612
IDSP_33,USL_OK_1,0.8367442796734142
MO_0,TYPE_MO_0,0.7996313446862822
KOL_USL,IDSP_30,0.7794546253362159
RSLT_1,RSLT_0,0.7620981982475936
USL_OK_1,BED_PROFILE_1,0.7618114660816179
IDSP_30,IDSP_29,0.7428530437023457
SPEC_CODE_1,SPEC_CODE_0,0.7287252044303413
USL_OK_3,IDSP_33,0.7204100542971252
USL_OK_3,BED_PROFILE_0,0.7203641771269083
FOR_POM_1,USL_OK_3,0.7182117530403801
NPR_MO_0,attach,0.7157695772682842
IDSP_29,P_CEL_Обращение по заболеванию,0.7133262578759922
attach,MO_0,0.7046615613663514
VIDPOM_12,VIDPOM_13,0.7040739105942007
